id,latency,size,totalTime
0,87,30,21765
1,38,30,21765
2,29,30,21765
3,32,30,21765
4,40,30,21765
5,33,30,21765
6,28,30,21765
7,27,30,21765
8,42,30,21765
9,26,30,21765
10,31,30,21765
11,21,30,21765
12,15,30,21765
13,30,30,21765
14,21,30,21765
15,16,30,21765
16,16,30,21765
17,16,30,21765
18,31,30,21765
19,32,30,21765
20,33,30,21765
21,23,30,21765
22,33,30,21765
23,30,30,21765
24,22,30,21765
25,29,30,21765
26,27,30,21765
27,21,30,21765
28,231,30,21765
29,24,30,21765
30,27,30,21765
31,28,30,21765
32,21,30,21765
33,24,30,21765
34,26,30,21765
35,32,30,21765
36,232,30,21765
37,27,30,21765
38,17,30,21765
39,23,30,21765
40,233,30,21765
41,43,30,21765
42,30,30,21765
43,38,30,21765
44,39,30,21765
45,26,30,21765
46,27,30,21765
47,31,30,21765
48,35,30,21765
49,37,30,21765
50,25,30,21765
51,27,30,21765
52,17,30,21765
53,16,30,21765
54,23,30,21765
55,16,30,21765
56,22,30,21765
57,15,30,21765
58,15,30,21765
59,28,30,21765
60,23,30,21765
61,30,30,21765
62,24,30,21765
63,26,30,21765
64,25,30,21765
65,35,30,21765
66,23,30,21765
67,19,30,21765
68,26,30,21765
69,28,30,21765
70,20,30,21765
71,35,30,21765
72,23,30,21765
73,25,30,21765
74,225,30,21765
75,25,30,21765
76,31,30,21765
77,22,30,21765
78,33,30,21765
79,25,30,21765
80,23,30,21765
81,43,30,21765
82,29,30,21765
83,33,30,21765
84,22,30,21765
85,16,30,21765
86,17,30,21765
87,18,30,21765
88,17,30,21765
89,17,30,21765
90,27,30,21765
91,19,30,21765
92,24,30,21765
93,65,30,21765
94,36,30,21765
95,46,30,21765
96,63,30,21765
97,65,30,21765
98,39,30,21765
99,32,30,21765
100,49,30,21765
101,47,30,21765
102,47,30,21765
103,90,30,21765
104,39,30,21765
105,39,30,21765
106,37,30,21765
107,47,30,21765
108,35,30,21765
109,42,30,21765
110,57,30,21765
111,26,30,21765
112,62,30,21765
113,115,30,21765
114,50,30,21765
115,33,30,21765
116,32,30,21765
117,28,30,21765
118,36,30,21765
119,51,30,21765
120,30,30,21765
121,21,30,21765
122,32,30,21765
123,35,30,21765
124,28,30,21765
125,23,30,21765
126,244,30,21765
127,77,30,21765
128,78,30,21765
129,227,30,21765
130,41,30,21765
131,81,30,21765
132,31,30,21765
133,269,30,21765
134,47,30,21765
135,30,30,21765
136,39,30,21765
137,40,30,21765
138,289,30,21765
139,37,30,21765
140,41,30,21765
141,52,30,21765
142,64,30,21765
143,297,30,21765
144,34,30,21765
145,24,30,21765
146,35,30,21765
147,39,30,21765
148,240,30,21765
149,77,30,21765
150,237,30,21765
151,37,30,21765
152,35,30,21765
153,30,30,21765
154,522,30,21765
155,53,30,21765
156,102,30,21765
157,77,30,21765
158,52,30,21765
159,37,30,21765
160,36,30,21765
161,39,30,21765
162,58,30,21765
163,84,30,21765
164,66,30,21765
165,45,30,21765
166,293,30,21765
167,150,30,21765
168,60,30,21765
169,65,30,21765
170,239,30,21765
171,27,30,21765
172,33,30,21765
173,36,30,21765
174,83,30,21765
175,67,30,21765
176,61,30,21765
177,71,30,21765
178,70,30,21765
179,62,30,21765
180,111,30,21765
181,40,30,21765
182,26,30,21765
183,74,30,21765
184,305,30,21765
185,60,30,21765
186,255,30,21765
187,42,30,21765
188,50,30,21765
189,24,30,21765
190,23,30,21765
191,23,30,21765
192,27,30,21765
193,29,30,21765
194,52,30,21765
195,25,30,21765
196,44,30,21765
197,48,30,21765
198,50,30,21765
199,45,30,21765
200,95,30,21765
201,244,30,21765
202,42,30,21765
203,245,30,21765
204,25,30,21765
205,34,30,21765
206,47,30,21765
207,62,30,21765
208,83,30,21765
209,98,30,21765
210,62,30,21765
211,25,30,21765
212,42,30,21765
213,59,30,21765
214,68,30,21765
215,53,30,21765
216,40,30,21765
217,45,30,21765
218,54,30,21765
219,38,30,21765
220,61,30,21765
221,223,30,21765
222,50,30,21765
223,48,30,21765
224,49,30,21765
225,307,30,21765
226,41,30,21765
227,52,30,21765
228,57,30,21765
229,48,30,21765
230,61,30,21765
231,39,30,21765
232,71,30,21765
233,64,30,21765
234,63,30,21765
235,223,30,21765
236,102,30,21765
237,38,30,21765
