id,latency,size,totalTime
0,55,30,6434
1,17,30,6434
2,16,30,6434
3,16,30,6434
4,15,30,6434
5,16,30,6434
6,14,30,6434
7,16,30,6434
8,15,30,6434
9,15,30,6434
10,15,30,6434
11,15,30,6434
12,15,30,6434
13,15,30,6434
14,24,30,6434
15,20,30,6434
16,15,30,6434
17,15,30,6434
18,16,30,6434
19,15,30,6434
20,15,30,6434
21,223,30,6434
22,23,30,6434
23,15,30,6434
24,17,30,6434
25,17,30,6434
26,16,30,6434
27,16,30,6434
28,14,30,6434
29,27,30,6434
30,24,30,6434
31,16,30,6434
32,16,30,6434
33,15,30,6434
34,15,30,6434
35,15,30,6434
36,15,30,6434
37,15,30,6434
38,16,30,6434
39,20,30,6434
40,16,30,6434
41,15,30,6434
42,15,30,6434
43,15,30,6434
44,14,30,6434
45,15,30,6434
46,16,30,6434
47,16,30,6434
48,18,30,6434
49,19,30,6434
50,23,30,6434
51,19,30,6434
52,15,30,6434
53,18,30,6434
54,15,30,6434
55,15,30,6434
56,15,30,6434
57,16,30,6434
58,14,30,6434
59,16,30,6434
60,15,30,6434
61,15,30,6434
62,15,30,6434
63,16,30,6434
64,14,30,6434
65,16,30,6434
66,15,30,6434
67,16,30,6434
68,16,30,6434
69,26,30,6434
70,19,30,6434
71,15,30,6434
72,15,30,6434
73,19,30,6434
74,17,30,6434
75,19,30,6434
76,16,30,6434
77,21,30,6434
78,19,30,6434
79,15,30,6434
80,24,30,6434
81,16,30,6434
82,16,30,6434
83,17,30,6434
84,20,30,6434
85,20,30,6434
86,23,30,6434
87,17,30,6434
88,15,30,6434
89,15,30,6434
90,16,30,6434
91,15,30,6434
92,14,30,6434
93,17,30,6434
94,16,30,6434
95,26,30,6434
96,18,30,6434
97,15,30,6434
98,15,30,6434
99,15,30,6434
100,26,30,6434
101,22,30,6434
102,19,30,6434
103,17,30,6434
104,16,30,6434
105,15,30,6434
106,16,30,6434
107,15,30,6434
108,15,30,6434
109,45,30,6434
110,24,30,6434
111,15,30,6434
112,18,30,6434
113,17,30,6434
114,15,30,6434
115,16,30,6434
116,17,30,6434
117,17,30,6434
118,18,30,6434
119,17,30,6434
120,23,30,6434
121,17,30,6434
122,17,30,6434
123,16,30,6434
124,15,30,6434
125,16,30,6434
126,16,30,6434
127,15,30,6434
128,23,30,6434
129,16,30,6434
130,15,30,6434
131,28,30,6434
132,17,30,6434
133,16,30,6434
134,15,30,6434
135,15,30,6434
136,28,30,6434
137,19,30,6434
138,16,30,6434
139,23,30,6434
140,17,30,6434
141,235,30,6434
142,23,30,6434
143,16,30,6434
144,16,30,6434
145,15,30,6434
146,15,30,6434
147,16,30,6434
148,18,30,6434
149,15,30,6434
150,27,30,6434
151,19,30,6434
152,16,30,6434
153,20,30,6434
154,17,30,6434
155,15,30,6434
156,15,30,6434
157,21,30,6434
158,16,30,6434
159,21,30,6434
160,19,30,6434
161,18,30,6434
162,20,30,6434
163,16,30,6434
164,15,30,6434
165,16,30,6434
166,15,30,6434
167,15,30,6434
168,15,30,6434
169,15,30,6434
170,16,30,6434
171,15,30,6434
172,15,30,6434
173,16,30,6434
174,15,30,6434
175,15,30,6434
176,15,30,6434
177,16,30,6434
178,15,30,6434
179,14,30,6434
180,15,30,6434
181,15,30,6434
182,15,30,6434
183,16,30,6434
184,16,30,6434
185,14,30,6434
186,16,30,6434
187,24,30,6434
188,20,30,6434
189,14,30,6434
190,16,30,6434
191,15,30,6434
192,15,30,6434
193,15,30,6434
194,15,30,6434
195,15,30,6434
196,18,30,6434
197,15,30,6434
198,15,30,6434
199,16,30,6434
200,16,30,6434
201,16,30,6434
202,15,30,6434
203,15,30,6434
204,14,30,6434
205,29,30,6434
206,23,30,6434
207,15,30,6434
208,15,30,6434
209,15,30,6434
210,14,30,6434
211,25,30,6434
212,14,30,6434
213,28,30,6434
214,17,30,6434
215,16,30,6434
216,17,30,6434
217,14,30,6434
218,16,30,6434
219,15,30,6434
220,16,30,6434
221,27,30,6434
222,22,30,6434
223,15,30,6434
224,17,30,6434
225,15,30,6434
226,15,30,6434
227,24,30,6434
228,15,30,6434
229,221,30,6434
230,24,30,6434
231,16,30,6434
232,20,30,6434
233,17,30,6434
234,25,30,6434
235,16,30,6434
236,16,30,6434
237,18,30,6434
238,21,30,6434
239,18,30,6434
240,18,30,6434
241,16,30,6434
242,16,30,6434
243,17,30,6434
244,19,30,6434
245,18,30,6434
246,16,30,6434
247,15,30,6434
248,15,30,6434
249,15,30,6434
250,16,30,6434
251,15,30,6434
252,16,30,6434
253,16,30,6434
254,16,30,6434
255,17,30,6434
256,17,30,6434
257,16,30,6434
258,16,30,6434
259,26,30,6434
260,36,30,6434
261,22,30,6434
262,15,30,6434
263,16,30,6434
264,16,30,6434
