id,latency,size,totalTime
0,83,2,232795
1,45,2,232795
2,52,2,232795
3,52,2,232795
4,47,2,232795
5,50,2,232795
6,53,2,232795
7,55,2,232795
8,58,2,232795
9,61,2,232795
10,62,2,232795
11,56,2,232795
12,54,2,232795
13,55,2,232795
14,54,2,232795
15,53,2,232795
16,56,2,232795
17,56,2,232795
18,52,2,232795
19,51,2,232795
20,60,2,232795
21,56,2,232795
22,55,2,232795
23,62,2,232795
24,52,2,232795
25,58,2,232795
26,61,2,232795
27,50,2,232795
28,54,2,232795
29,58,2,232795
30,64,2,232795
31,59,2,232795
32,71,2,232795
33,52,2,232795
34,62,2,232795
35,59,2,232795
36,59,2,232795
37,58,2,232795
38,63,2,232795
39,54,2,232795
40,63,2,232795
41,61,2,232795
42,50,2,232795
43,60,2,232795
44,54,2,232795
45,57,2,232795
46,60,2,232795
47,55,2,232795
48,50,2,232795
49,56,2,232795
50,55,2,232795
51,54,2,232795
52,61,2,232795
53,57,2,232795
54,63,2,232795
55,52,2,232795
56,54,2,232795
57,56,2,232795
58,49,2,232795
59,52,2,232795
60,53,2,232795
61,56,2,232795
62,62,2,232795
63,50,2,232795
64,51,2,232795
65,54,2,232795
66,54,2,232795
67,58,2,232795
68,58,2,232795
69,58,2,232795
70,54,2,232795
71,60,2,232795
72,57,2,232795
73,60,2,232795
74,60,2,232795
75,60,2,232795
76,60,2,232795
77,62,2,232795
78,61,2,232795
79,60,2,232795
80,60,2,232795
81,55,2,232795
82,64,2,232795
83,61,2,232795
84,57,2,232795
85,53,2,232795
86,54,2,232795
87,58,2,232795
88,54,2,232795
89,57,2,232795
90,52,2,232795
91,59,2,232795
92,54,2,232795
93,56,2,232795
94,61,2,232795
95,53,2,232795
96,56,2,232795
97,54,2,232795
98,55,2,232795
99,54,2,232795
100,44,2,232795
101,56,2,232795
102,59,2,232795
103,58,2,232795
104,54,2,232795
105,52,2,232795
106,58,2,232795
107,52,2,232795
108,45,2,232795
109,55,2,232795
110,68,2,232795
111,52,2,232795
112,52,2,232795
113,55,2,232795
114,46,2,232795
115,51,2,232795
116,50,2,232795
117,51,2,232795
118,53,2,232795
119,64,2,232795
120,52,2,232795
121,57,2,232795
122,53,2,232795
123,55,2,232795
124,54,2,232795
125,52,2,232795
126,51,2,232795
127,56,2,232795
128,54,2,232795
129,51,2,232795
130,54,2,232795
131,55,2,232795
132,51,2,232795
133,51,2,232795
134,48,2,232795
135,53,2,232795
136,55,2,232795
137,55,2,232795
138,47,2,232795
139,53,2,232795
140,53,2,232795
141,49,2,232795
142,44,2,232795
143,55,2,232795
144,53,2,232795
145,46,2,232795
146,51,2,232795
147,49,2,232795
148,54,2,232795
149,49,2,232795
150,52,2,232795
151,56,2,232795
152,52,2,232795
153,46,2,232795
154,49,2,232795
155,56,2,232795
156,48,2,232795
157,51,2,232795
158,52,2,232795
159,52,2,232795
160,52,2,232795
161,55,2,232795
162,55,2,232795
163,51,2,232795
164,57,2,232795
165,52,2,232795
166,53,2,232795
167,44,2,232795
168,53,2,232795
169,51,2,232795
170,52,2,232795
171,54,2,232795
172,55,2,232795
173,44,2,232795
174,46,2,232795
175,44,2,232795
176,42,2,232795
177,49,2,232795
178,50,2,232795
179,54,2,232795
180,53,2,232795
181,52,2,232795
182,51,2,232795
183,53,2,232795
184,55,2,232795
185,51,2,232795
186,51,2,232795
187,54,2,232795
188,55,2,232795
189,54,2,232795
190,53,2,232795
191,54,2,232795
192,52,2,232795
193,54,2,232795
194,56,2,232795
195,52,2,232795
196,56,2,232795
197,52,2,232795
198,53,2,232795
199,52,2,232795
200,56,2,232795
201,53,2,232795
202,45,2,232795
203,54,2,232795
204,48,2,232795
205,53,2,232795
206,45,2,232795
207,50,2,232795
208,54,2,232795
209,53,2,232795
210,44,2,232795
211,52,2,232795
212,54,2,232795
213,52,2,232795
214,56,2,232795
215,53,2,232795
216,55,2,232795
217,54,2,232795
218,63,2,232795
219,60,2,232795
220,61,2,232795
221,61,2,232795
222,58,2,232795
223,62,2,232795
224,59,2,232795
225,61,2,232795
226,62,2,232795
227,53,2,232795
228,59,2,232795
229,65,2,232795
230,66,2,232795
231,55,2,232795
232,56,2,232795
233,61,2,232795
234,57,2,232795
235,55,2,232795
236,56,2,232795
237,61,2,232795
238,60,2,232795
239,55,2,232795
240,63,2,232795
241,59,2,232795
242,63,2,232795
243,48,2,232795
244,52,2,232795
245,64,2,232795
246,60,2,232795
247,61,2,232795
248,57,2,232795
249,51,2,232795
250,50,2,232795
251,54,2,232795
252,59,2,232795
253,60,2,232795
254,60,2,232795
255,63,2,232795
256,57,2,232795
257,48,2,232795
258,59,2,232795
259,60,2,232795
260,56,2,232795
261,56,2,232795
262,294,2,232795
263,255,2,232795
264,53,2,232795
265,56,2,232795
266,55,2,232795
267,53,2,232795
268,54,2,232795
269,54,2,232795
270,55,2,232795
271,54,2,232795
272,57,2,232795
273,51,2,232795
274,59,2,232795
275,61,2,232795
276,62,2,232795
277,52,2,232795
278,50,2,232795
279,45,2,232795
280,52,2,232795
281,53,2,232795
282,49,2,232795
283,49,2,232795
284,51,2,232795
285,53,2,232795
286,55,2,232795
287,52,2,232795
288,51,2,232795
289,50,2,232795
290,44,2,232795
291,54,2,232795
292,53,2,232795
293,51,2,232795
294,49,2,232795
295,54,2,232795
296,55,2,232795
297,52,2,232795
298,47,2,232795
299,53,2,232795
300,53,2,232795
301,48,2,232795
302,50,2,232795
303,51,2,232795
304,46,2,232795
305,52,2,232795
306,53,2,232795
307,54,2,232795
308,52,2,232795
309,54,2,232795
310,50,2,232795
311,51,2,232795
312,52,2,232795
313,45,2,232795
314,51,2,232795
315,53,2,232795
316,46,2,232795
317,53,2,232795
318,51,2,232795
319,51,2,232795
320,50,2,232795
321,51,2,232795
322,49,2,232795
323,53,2,232795
324,53,2,232795
325,45,2,232795
326,52,2,232795
327,53,2,232795
328,50,2,232795
329,51,2,232795
330,54,2,232795
331,52,2,232795
332,50,2,232795
333,55,2,232795
334,55,2,232795
335,48,2,232795
336,51,2,232795
337,53,2,232795
338,51,2,232795
339,50,2,232795
340,53,2,232795
341,48,2,232795
342,56,2,232795
343,54,2,232795
344,50,2,232795
345,60,2,232795
346,52,2,232795
347,49,2,232795
348,54,2,232795
349,51,2,232795
350,47,2,232795
351,50,2,232795
352,46,2,232795
353,55,2,232795
354,56,2,232795
355,45,2,232795
356,50,2,232795
357,50,2,232795
358,51,2,232795
359,54,2,232795
360,54,2,232795
361,53,2,232795
362,51,2,232795
363,49,2,232795
364,51,2,232795
365,54,2,232795
366,57,2,232795
367,59,2,232795
368,61,2,232795
369,56,2,232795
370,60,2,232795
371,60,2,232795
372,56,2,232795
373,61,2,232795
374,56,2,232795
375,59,2,232795
376,61,2,232795
377,60,2,232795
378,63,2,232795
379,63,2,232795
380,61,2,232795
381,54,2,232795
382,59,2,232795
383,65,2,232795
384,58,2,232795
385,51,2,232795
386,51,2,232795
387,52,2,232795
388,53,2,232795
389,56,2,232795
390,53,2,232795
391,50,2,232795
392,52,2,232795
393,44,2,232795
394,48,2,232795
395,55,2,232795
396,52,2,232795
397,50,2,232795
398,55,2,232795
399,54,2,232795
400,47,2,232795
401,54,2,232795
402,52,2,232795
403,51,2,232795
404,52,2,232795
405,50,2,232795
406,48,2,232795
407,52,2,232795
408,53,2,232795
409,50,2,232795
410,55,2,232795
411,52,2,232795
412,47,2,232795
413,44,2,232795
414,55,2,232795
415,53,2,232795
416,52,2,232795
417,51,2,232795
418,54,2,232795
419,50,2,232795
420,49,2,232795
421,53,2,232795
422,53,2,232795
423,50,2,232795
424,51,2,232795
425,52,2,232795
426,51,2,232795
427,51,2,232795
428,53,2,232795
429,51,2,232795
430,52,2,232795
431,53,2,232795
432,49,2,232795
433,50,2,232795
434,51,2,232795
435,58,2,232795
436,54,2,232795
437,53,2,232795
438,50,2,232795
439,54,2,232795
440,55,2,232795
441,53,2,232795
442,65,2,232795
443,52,2,232795
444,52,2,232795
445,50,2,232795
446,53,2,232795
447,50,2,232795
448,54,2,232795
449,53,2,232795
450,52,2,232795
451,49,2,232795
452,51,2,232795
453,54,2,232795
454,53,2,232795
455,54,2,232795
456,51,2,232795
457,50,2,232795
458,50,2,232795
459,51,2,232795
460,51,2,232795
461,51,2,232795
462,54,2,232795
463,45,2,232795
464,54,2,232795
465,50,2,232795
466,55,2,232795
467,52,2,232795
468,51,2,232795
469,49,2,232795
470,50,2,232795
471,51,2,232795
472,50,2,232795
473,52,2,232795
474,50,2,232795
475,55,2,232795
476,52,2,232795
477,52,2,232795
478,51,2,232795
479,51,2,232795
480,52,2,232795
481,50,2,232795
482,53,2,232795
483,55,2,232795
484,51,2,232795
485,52,2,232795
486,54,2,232795
487,54,2,232795
488,52,2,232795
489,54,2,232795
490,54,2,232795
491,52,2,232795
492,51,2,232795
493,51,2,232795
494,55,2,232795
495,56,2,232795
496,59,2,232795
497,60,2,232795
498,54,2,232795
499,50,2,232795
500,59,2,232795
501,58,2,232795
502,60,2,232795
503,61,2,232795
504,56,2,232795
505,56,2,232795
506,59,2,232795
507,54,2,232795
508,57,2,232795
509,61,2,232795
510,61,2,232795
511,60,2,232795
512,60,2,232795
513,60,2,232795
514,57,2,232795
515,57,2,232795
516,61,2,232795
517,58,2,232795
518,61,2,232795
519,52,2,232795
520,53,2,232795
521,58,2,232795
522,52,2,232795
523,53,2,232795
524,57,2,232795
525,49,2,232795
526,48,2,232795
527,60,2,232795
528,59,2,232795
529,58,2,232795
530,60,2,232795
531,55,2,232795
532,49,2,232795
533,55,2,232795
534,54,2,232795
535,52,2,232795
536,52,2,232795
537,49,2,232795
538,55,2,232795
539,54,2,232795
540,52,2,232795
541,49,2,232795
542,51,2,232795
543,55,2,232795
544,53,2,232795
545,52,2,232795
546,49,2,232795
547,51,2,232795
548,51,2,232795
549,51,2,232795
550,51,2,232795
551,53,2,232795
552,53,2,232795
553,53,2,232795
554,51,2,232795
555,51,2,232795
556,50,2,232795
557,54,2,232795
558,54,2,232795
559,51,2,232795
560,53,2,232795
561,53,2,232795
562,55,2,232795
563,51,2,232795
564,51,2,232795
565,52,2,232795
566,52,2,232795
567,55,2,232795
