id,entryId,latency,dataGenTime,totalBytes,totalTime
0,0,245,14,512000000,205700
1,1,47,0,512000000,205700
2,2,24,0,512000000,205700
3,3,25,0,512000000,205700
4,4,25,0,512000000,205700
5,5,23,0,512000000,205700
6,6,22,0,512000000,205700
7,7,21,0,512000000,205700
8,8,30,0,512000000,205700
9,9,23,0,512000000,205700
10,10,21,0,512000000,205700
11,11,21,0,512000000,205700
12,12,21,1,512000000,205700
13,13,24,0,512000000,205700
14,14,24,0,512000000,205700
15,15,19,0,512000000,205700
16,16,20,0,512000000,205700
17,17,25,0,512000000,205700
18,18,25,0,512000000,205700
19,19,26,0,512000000,205700
20,20,24,0,512000000,205700
21,21,23,0,512000000,205700
22,22,22,0,512000000,205700
23,23,25,0,512000000,205700
24,24,22,0,512000000,205700
25,25,23,0,512000000,205700
26,26,24,0,512000000,205700
27,27,23,0,512000000,205700
28,28,24,0,512000000,205700
29,29,22,0,512000000,205700
30,30,23,0,512000000,205700
31,31,18,0,512000000,205700
32,32,19,0,512000000,205700
33,33,20,0,512000000,205700
34,34,19,0,512000000,205700
35,35,20,0,512000000,205700
36,36,20,0,512000000,205700
37,37,19,0,512000000,205700
38,38,23,0,512000000,205700
39,39,20,0,512000000,205700
40,40,28,0,512000000,205700
41,41,21,0,512000000,205700
42,42,22,0,512000000,205700
43,43,19,0,512000000,205700
44,44,18,0,512000000,205700
45,45,20,0,512000000,205700
46,46,18,0,512000000,205700
47,47,19,0,512000000,205700
48,48,25,0,512000000,205700
49,49,19,0,512000000,205700
50,50,26,0,512000000,205700
51,51,19,0,512000000,205700
52,52,19,0,512000000,205700
53,53,20,0,512000000,205700
54,54,18,0,512000000,205700
55,55,20,0,512000000,205700
56,56,19,0,512000000,205700
57,57,19,0,512000000,205700
58,58,19,0,512000000,205700
59,59,19,0,512000000,205700
60,60,19,0,512000000,205700
61,61,19,0,512000000,205700
62,62,20,0,512000000,205700
63,63,20,0,512000000,205700
64,64,19,0,512000000,205700
65,65,19,0,512000000,205700
66,66,19,0,512000000,205700
67,67,19,0,512000000,205700
68,68,18,0,512000000,205700
69,69,20,0,512000000,205700
70,70,18,0,512000000,205700
71,71,19,0,512000000,205700
72,72,19,0,512000000,205700
73,73,19,0,512000000,205700
74,74,18,0,512000000,205700
75,75,19,0,512000000,205700
76,76,19,0,512000000,205700
77,77,18,0,512000000,205700
78,78,22,0,512000000,205700
79,79,19,0,512000000,205700
80,80,18,0,512000000,205700
81,81,19,0,512000000,205700
82,82,18,0,512000000,205700
83,83,19,0,512000000,205700
84,84,19,0,512000000,205700
85,85,19,0,512000000,205700
86,86,21,0,512000000,205700
87,87,22,0,512000000,205700
88,88,21,0,512000000,205700
89,89,22,0,512000000,205700
90,90,22,0,512000000,205700
91,91,21,0,512000000,205700
92,92,22,0,512000000,205700
93,93,19,0,512000000,205700
94,94,22,0,512000000,205700
95,95,21,0,512000000,205700
96,96,22,0,512000000,205700
97,97,21,0,512000000,205700
98,98,21,0,512000000,205700
99,99,22,0,512000000,205700
100,100,21,0,512000000,205700
101,101,21,0,512000000,205700
102,102,22,0,512000000,205700
103,103,34,0,512000000,205700
104,104,21,0,512000000,205700
105,105,22,0,512000000,205700
106,106,21,0,512000000,205700
107,107,21,0,512000000,205700
108,108,22,0,512000000,205700
109,109,21,0,512000000,205700
110,110,22,0,512000000,205700
111,111,22,0,512000000,205700
112,112,22,0,512000000,205700
113,113,21,0,512000000,205700
114,114,22,0,512000000,205700
115,115,19,0,512000000,205700
116,116,30,0,512000000,205700
117,117,22,0,512000000,205700
118,118,22,0,512000000,205700
119,119,18,0,512000000,205700
120,120,21,0,512000000,205700
121,121,21,0,512000000,205700
122,122,21,0,512000000,205700
123,123,19,0,512000000,205700
124,124,21,0,512000000,205700
125,125,21,0,512000000,205700
126,126,22,0,512000000,205700
127,127,24,0,512000000,205700
128,128,21,0,512000000,205700
129,129,21,0,512000000,205700
130,130,21,0,512000000,205700
131,131,22,0,512000000,205700
132,132,21,0,512000000,205700
133,133,22,0,512000000,205700
134,134,21,0,512000000,205700
135,135,21,0,512000000,205700
136,136,19,0,512000000,205700
137,137,22,0,512000000,205700
138,138,21,0,512000000,205700
139,139,22,0,512000000,205700
140,140,21,0,512000000,205700
141,141,21,0,512000000,205700
142,142,21,0,512000000,205700
143,143,22,0,512000000,205700
144,144,21,0,512000000,205700
145,145,21,0,512000000,205700
146,146,22,0,512000000,205700
147,147,21,0,512000000,205700
148,148,22,0,512000000,205700
149,149,21,0,512000000,205700
150,150,22,0,512000000,205700
151,151,21,0,512000000,205700
152,152,22,0,512000000,205700
153,153,21,0,512000000,205700
154,154,21,0,512000000,205700
155,155,22,0,512000000,205700
156,156,21,0,512000000,205700
157,157,21,0,512000000,205700
158,158,22,0,512000000,205700
159,159,21,0,512000000,205700
160,160,21,0,512000000,205700
161,161,21,0,512000000,205700
162,162,21,0,512000000,205700
163,163,21,0,512000000,205700
164,164,21,0,512000000,205700
165,165,22,0,512000000,205700
166,166,21,0,512000000,205700
167,167,21,0,512000000,205700
168,168,21,0,512000000,205700
169,169,23,0,512000000,205700
170,170,22,0,512000000,205700
171,171,21,0,512000000,205700
172,172,27,0,512000000,205700
173,173,21,0,512000000,205700
174,174,22,0,512000000,205700
175,175,21,0,512000000,205700
176,176,21,0,512000000,205700
177,177,21,0,512000000,205700
178,178,21,0,512000000,205700
179,179,22,0,512000000,205700
180,180,21,0,512000000,205700
181,181,21,0,512000000,205700
182,182,21,0,512000000,205700
183,183,22,0,512000000,205700
184,184,21,0,512000000,205700
185,185,21,0,512000000,205700
186,186,22,0,512000000,205700
187,187,21,0,512000000,205700
188,188,21,0,512000000,205700
189,189,21,0,512000000,205700
190,190,21,0,512000000,205700
191,191,23,0,512000000,205700
192,192,39,0,512000000,205700
193,193,18,0,512000000,205700
194,194,18,0,512000000,205700
195,195,18,0,512000000,205700
196,196,19,0,512000000,205700
197,197,18,0,512000000,205700
198,198,19,0,512000000,205700
199,199,18,0,512000000,205700
200,200,21,0,512000000,205700
201,201,19,0,512000000,205700
202,202,18,0,512000000,205700
203,203,18,0,512000000,205700
204,204,18,0,512000000,205700
205,205,18,0,512000000,205700
206,206,19,0,512000000,205700
207,207,18,0,512000000,205700
208,208,18,0,512000000,205700
209,209,18,0,512000000,205700
210,210,19,0,512000000,205700
211,211,19,0,512000000,205700
212,212,18,0,512000000,205700
213,213,19,0,512000000,205700
214,214,19,0,512000000,205700
215,215,19,0,512000000,205700
216,216,19,0,512000000,205700
217,217,18,0,512000000,205700
218,218,19,0,512000000,205700
219,219,18,0,512000000,205700
220,220,19,0,512000000,205700
221,221,17,0,512000000,205700
222,222,18,1,512000000,205700
223,223,18,0,512000000,205700
224,224,18,0,512000000,205700
225,225,19,0,512000000,205700
226,226,18,0,512000000,205700
227,227,18,0,512000000,205700
228,228,18,0,512000000,205700
229,229,18,0,512000000,205700
230,230,19,0,512000000,205700
231,231,18,0,512000000,205700
232,232,18,0,512000000,205700
233,233,18,0,512000000,205700
234,234,19,0,512000000,205700
235,235,18,0,512000000,205700
236,236,19,0,512000000,205700
237,237,18,0,512000000,205700
238,238,18,0,512000000,205700
239,239,18,0,512000000,205700
240,240,19,0,512000000,205700
241,241,18,0,512000000,205700
242,242,18,0,512000000,205700
243,243,19,0,512000000,205700
244,244,18,0,512000000,205700
245,245,19,0,512000000,205700
246,246,18,0,512000000,205700
247,247,19,0,512000000,205700
248,248,18,0,512000000,205700
249,249,18,0,512000000,205700
250,250,18,0,512000000,205700
251,251,19,0,512000000,205700
252,252,18,0,512000000,205700
253,253,19,0,512000000,205700
254,254,18,0,512000000,205700
255,255,21,0,512000000,205700
256,256,18,0,512000000,205700
257,257,18,0,512000000,205700
258,258,18,0,512000000,205700
259,259,18,0,512000000,205700
260,260,18,0,512000000,205700
261,261,18,0,512000000,205700
262,262,18,0,512000000,205700
263,263,18,0,512000000,205700
264,264,18,0,512000000,205700
265,265,18,0,512000000,205700
266,266,18,0,512000000,205700
267,267,18,0,512000000,205700
268,268,18,0,512000000,205700
269,269,18,0,512000000,205700
270,270,18,0,512000000,205700
271,271,18,0,512000000,205700
272,272,16,0,512000000,205700
273,273,17,0,512000000,205700
274,274,18,0,512000000,205700
275,275,18,0,512000000,205700
276,276,20,0,512000000,205700
277,277,21,0,512000000,205700
278,278,19,0,512000000,205700
279,279,21,0,512000000,205700
280,280,20,0,512000000,205700
281,281,21,0,512000000,205700
282,282,21,0,512000000,205700
283,283,21,0,512000000,205700
284,284,21,0,512000000,205700
285,285,21,0,512000000,205700
286,286,21,0,512000000,205700
287,287,20,0,512000000,205700
288,288,19,0,512000000,205700
289,289,21,0,512000000,205700
290,290,20,0,512000000,205700
291,291,25,0,512000000,205700
292,292,21,0,512000000,205700
293,293,26,0,512000000,205700
294,294,21,0,512000000,205700
295,295,21,0,512000000,205700
296,296,19,0,512000000,205700
297,297,21,0,512000000,205700
298,298,21,0,512000000,205700
299,299,21,0,512000000,205700
300,300,21,0,512000000,205700
301,301,21,0,512000000,205700
302,302,20,0,512000000,205700
303,303,22,0,512000000,205700
304,304,21,0,512000000,205700
305,305,20,0,512000000,205700
306,306,21,0,512000000,205700
307,307,21,0,512000000,205700
308,308,22,0,512000000,205700
309,309,21,0,512000000,205700
310,310,20,0,512000000,205700
311,311,21,0,512000000,205700
312,312,19,0,512000000,205700
313,313,21,0,512000000,205700
314,314,21,0,512000000,205700
315,315,20,0,512000000,205700
316,316,22,0,512000000,205700
317,317,20,0,512000000,205700
318,318,21,0,512000000,205700
319,319,22,0,512000000,205700
320,320,21,0,512000000,205700
321,321,24,0,512000000,205700
322,322,20,0,512000000,205700
323,323,21,0,512000000,205700
324,324,21,0,512000000,205700
325,325,20,0,512000000,205700
326,326,21,0,512000000,205700
327,327,21,0,512000000,205700
328,328,21,0,512000000,205700
329,329,20,0,512000000,205700
330,330,21,0,512000000,205700
331,331,21,0,512000000,205700
332,332,20,0,512000000,205700
333,333,21,0,512000000,205700
334,334,20,0,512000000,205700
335,335,21,0,512000000,205700
336,336,21,0,512000000,205700
337,337,20,0,512000000,205700
338,338,21,0,512000000,205700
339,339,21,0,512000000,205700
340,340,20,0,512000000,205700
341,341,21,0,512000000,205700
342,342,21,0,512000000,205700
343,343,21,0,512000000,205700
344,344,20,0,512000000,205700
345,345,21,0,512000000,205700
346,346,20,0,512000000,205700
347,347,21,0,512000000,205700
348,348,21,0,512000000,205700
349,349,21,0,512000000,205700
350,350,20,0,512000000,205700
351,351,21,0,512000000,205700
352,352,21,0,512000000,205700
353,353,21,0,512000000,205700
354,354,21,0,512000000,205700
355,355,20,0,512000000,205700
356,356,22,0,512000000,205700
357,357,20,0,512000000,205700
358,358,19,0,512000000,205700
359,359,21,0,512000000,205700
360,360,20,0,512000000,205700
361,361,21,0,512000000,205700
362,362,20,0,512000000,205700
363,363,21,0,512000000,205700
364,364,20,0,512000000,205700
365,365,21,0,512000000,205700
366,366,18,0,512000000,205700
367,367,20,0,512000000,205700
368,368,23,0,512000000,205700
369,369,21,0,512000000,205700
370,370,16,0,512000000,205700
371,371,22,0,512000000,205700
372,372,21,0,512000000,205700
373,373,21,0,512000000,205700
374,374,21,0,512000000,205700
375,375,21,0,512000000,205700
376,376,22,0,512000000,205700
377,377,21,0,512000000,205700
378,378,21,0,512000000,205700
379,379,22,0,512000000,205700
380,380,21,0,512000000,205700
381,381,21,0,512000000,205700
382,382,21,0,512000000,205700
383,383,22,0,512000000,205700
384,384,22,0,512000000,205700
385,385,21,0,512000000,205700
386,386,22,0,512000000,205700
387,387,21,0,512000000,205700
388,388,22,0,512000000,205700
389,389,21,0,512000000,205700
390,390,21,0,512000000,205700
391,391,22,0,512000000,205700
392,392,21,0,512000000,205700
393,393,21,0,512000000,205700
394,394,22,0,512000000,205700
395,395,21,0,512000000,205700
396,396,22,0,512000000,205700
397,397,21,0,512000000,205700
398,398,21,0,512000000,205700
399,399,21,0,512000000,205700
400,400,21,0,512000000,205700
401,401,22,0,512000000,205700
402,402,21,0,512000000,205700
403,403,21,0,512000000,205700
404,404,20,0,512000000,205700
405,405,21,0,512000000,205700
406,406,21,0,512000000,205700
407,407,22,0,512000000,205700
408,408,21,0,512000000,205700
409,409,22,0,512000000,205700
410,410,21,0,512000000,205700
411,411,21,0,512000000,205700
412,412,23,0,512000000,205700
413,413,21,0,512000000,205700
414,414,20,0,512000000,205700
415,415,24,0,512000000,205700
416,416,19,0,512000000,205700
417,417,20,0,512000000,205700
418,418,18,0,512000000,205700
419,419,20,0,512000000,205700
420,420,18,0,512000000,205700
421,421,19,0,512000000,205700
422,422,19,0,512000000,205700
423,423,18,0,512000000,205700
424,424,18,0,512000000,205700
425,425,19,0,512000000,205700
426,426,18,0,512000000,205700
427,427,19,0,512000000,205700
428,428,18,0,512000000,205700
429,429,20,0,512000000,205700
430,430,18,0,512000000,205700
431,431,19,0,512000000,205700
432,432,19,0,512000000,205700
433,433,19,0,512000000,205700
434,434,19,0,512000000,205700
435,435,19,0,512000000,205700
436,436,18,0,512000000,205700
437,437,19,0,512000000,205700
438,438,18,0,512000000,205700
439,439,20,0,512000000,205700
440,440,19,0,512000000,205700
441,441,19,0,512000000,205700
442,442,17,0,512000000,205700
443,443,22,0,512000000,205700
444,444,19,0,512000000,205700
445,445,19,0,512000000,205700
446,446,18,0,512000000,205700
447,447,19,0,512000000,205700
448,448,18,0,512000000,205700
449,449,19,0,512000000,205700
450,450,18,0,512000000,205700
451,451,19,0,512000000,205700
452,452,18,0,512000000,205700
453,453,19,0,512000000,205700
454,454,18,0,512000000,205700
455,455,19,0,512000000,205700
456,456,19,0,512000000,205700
457,457,18,0,512000000,205700
458,458,19,0,512000000,205700
459,459,19,0,512000000,205700
460,460,18,0,512000000,205700
461,461,19,0,512000000,205700
462,462,20,0,512000000,205700
463,463,19,0,512000000,205700
464,464,19,0,512000000,205700
465,465,19,0,512000000,205700
466,466,19,0,512000000,205700
467,467,18,0,512000000,205700
468,468,20,0,512000000,205700
469,469,19,0,512000000,205700
470,470,18,0,512000000,205700
471,471,17,0,512000000,205700
472,472,17,0,512000000,205700
473,473,20,0,512000000,205700
474,474,37,0,512000000,205700
475,475,18,0,512000000,205700
476,476,19,0,512000000,205700
477,477,18,0,512000000,205700
478,478,26,0,512000000,205700
479,479,22,0,512000000,205700
480,480,23,0,512000000,205700
481,481,22,0,512000000,205700
482,482,22,0,512000000,205700
483,483,22,0,512000000,205700
484,484,22,0,512000000,205700
485,485,21,0,512000000,205700
486,486,22,0,512000000,205700
487,487,22,0,512000000,205700
488,488,21,0,512000000,205700
489,489,21,0,512000000,205700
490,490,21,0,512000000,205700
491,491,22,0,512000000,205700
492,492,21,0,512000000,205700
493,493,21,0,512000000,205700
494,494,22,0,512000000,205700
495,495,21,0,512000000,205700
496,496,22,0,512000000,205700
497,497,21,0,512000000,205700
498,498,21,0,512000000,205700
499,499,21,0,512000000,205700
500,500,22,0,512000000,205700
